starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 11 17:02:32 2022	1670749352	0	62	62	58
Sun Dec 11 17:02:32 2022	1670749352	3	192	195	191
Sun Dec 11 17:02:32 2022	1670749352	3	200	204	200
Sun Dec 11 17:02:32 2022	1670749352	4	213	217	213
Sun Dec 11 17:02:32 2022	1670749352	3	222	225	221
Sun Dec 11 17:02:32 2022	1670749352	4	226	230	225
Sun Dec 11 17:02:40 2022	1670749360	0	239	239	238
Sun Dec 11 17:02:40 2022	1670749360	0	245	245	244
Sun Dec 11 17:02:32 2022	1670749352	4	245	249	245
Sun Dec 11 17:02:40 2022	1670749360	0	256	256	255
Sun Dec 11 17:02:40 2022	1670749360	0	256	256	255
Sun Dec 11 17:02:40 2022	1670749360	0	256	256	256
Sun Dec 11 17:02:32 2022	1670749352	4	254	258	254
Sun Dec 11 17:02:40 2022	1670749360	0	259	259	259
Sun Dec 11 17:02:40 2022	1670749360	0	263	264	263
Sun Dec 11 17:02:32 2022	1670749352	4	261	265	260
Sun Dec 11 17:02:32 2022	1670749352	4	266	269	265
Sun Dec 11 17:02:40 2022	1670749360	0	269	269	269
Sun Dec 11 17:02:40 2022	1670749360	0	273	273	272
Sun Dec 11 17:02:32 2022	1670749352	4	275	279	274
Sun Dec 11 17:02:40 2022	1670749360	0	286	286	286
Sun Dec 11 17:02:32 2022	1670749352	4	283	287	283
Sun Dec 11 17:02:32 2022	1670749352	4	287	290	286
Sun Dec 11 17:02:32 2022	1670749352	4	292	296	292
Sun Dec 11 17:02:32 2022	1670749352	4	292	296	291
Sun Dec 11 17:02:40 2022	1670749360	0	300	300	299
Sun Dec 11 17:02:35 2022	1670749355	0	300	300	299
Sun Dec 11 17:02:40 2022	1670749360	0	307	307	306
Sun Dec 11 17:02:32 2022	1670749352	4	305	309	303
Sun Dec 11 17:02:36 2022	1670749356	1	313	314	313
Sun Dec 11 17:02:32 2022	1670749352	4	311	315	311
Sun Dec 11 17:02:40 2022	1670749360	0	315	316	315
Sun Dec 11 17:02:32 2022	1670749352	4	312	316	312
Sun Dec 11 17:02:32 2022	1670749352	4	312	316	312
Sun Dec 11 17:02:40 2022	1670749360	0	317	317	317
Sun Dec 11 17:02:40 2022	1670749360	0	318	318	317
Sun Dec 11 17:02:40 2022	1670749360	0	318	318	317
Sun Dec 11 17:02:32 2022	1670749352	4	317	321	317
Sun Dec 11 17:02:32 2022	1670749352	4	320	323	319
Sun Dec 11 17:02:32 2022	1670749352	4	322	326	321
Sun Dec 11 17:02:36 2022	1670749356	0	326	326	325
Sun Dec 11 17:02:35 2022	1670749355	0	328	328	328
Sun Dec 11 17:02:40 2022	1670749360	0	329	330	329
Sun Dec 11 17:02:32 2022	1670749352	4	326	330	326
Sun Dec 11 17:02:32 2022	1670749352	4	328	332	326
Sun Dec 11 17:02:35 2022	1670749355	0	333	333	332
Sun Dec 11 17:02:40 2022	1670749360	0	333	334	331
Sun Dec 11 17:02:35 2022	1670749355	0	334	334	334
Sun Dec 11 17:02:37 2022	1670749357	0	334	335	334
Sun Dec 11 17:02:32 2022	1670749352	0	337	337	337
Sun Dec 11 17:02:34 2022	1670749354	0	338	338	337
Sun Dec 11 17:02:32 2022	1670749352	4	335	339	334
Sun Dec 11 17:02:33 2022	1670749353	1	338	339	338
Sun Dec 11 17:02:40 2022	1670749360	0	339	339	338
Sun Dec 11 17:02:37 2022	1670749357	0	340	340	339
Sun Dec 11 17:02:40 2022	1670749360	0	340	341	340
Sun Dec 11 17:02:36 2022	1670749356	0	342	342	341
Sun Dec 11 17:02:36 2022	1670749356	0	342	343	342
Sun Dec 11 17:02:35 2022	1670749355	0	343	343	342
Sun Dec 11 17:02:39 2022	1670749359	0	345	345	345
Sun Dec 11 17:02:37 2022	1670749357	0	345	346	345
Sun Dec 11 17:02:35 2022	1670749355	0	346	346	345
Sun Dec 11 17:02:35 2022	1670749355	0	346	347	346
Sun Dec 11 17:02:32 2022	1670749352	4	345	348	343
Sun Dec 11 17:02:33 2022	1670749353	0	349	349	348
Sun Dec 11 17:02:32 2022	1670749352	4	345	349	344
Sun Dec 11 17:02:32 2022	1670749352	4	345	349	344
Sun Dec 11 17:02:34 2022	1670749354	0	349	349	349
Sun Dec 11 17:02:35 2022	1670749355	0	349	350	349
Sun Dec 11 17:02:32 2022	1670749352	4	347	351	346
Sun Dec 11 17:02:35 2022	1670749355	0	350	351	349
Sun Dec 11 17:02:40 2022	1670749360	0	351	351	350
Sun Dec 11 17:02:34 2022	1670749354	0	351	351	350
Sun Dec 11 17:02:35 2022	1670749355	0	351	351	351
Sun Dec 11 17:02:34 2022	1670749354	0	351	351	351
Sun Dec 11 17:02:35 2022	1670749355	0	351	352	351
Sun Dec 11 17:02:35 2022	1670749355	0	352	352	351
Sun Dec 11 17:02:37 2022	1670749357	1	351	352	351
Sun Dec 11 17:02:34 2022	1670749354	0	352	352	352
Sun Dec 11 17:02:34 2022	1670749354	0	352	352	351
Sun Dec 11 17:02:35 2022	1670749355	0	353	353	352
Sun Dec 11 17:02:35 2022	1670749355	0	353	353	353
Sun Dec 11 17:02:35 2022	1670749355	0	354	354	354
Sun Dec 11 17:02:36 2022	1670749356	0	354	354	354
Sun Dec 11 17:02:37 2022	1670749357	0	354	355	354
Sun Dec 11 17:02:32 2022	1670749352	4	351	355	351
Sun Dec 11 17:02:37 2022	1670749357	0	355	355	355
Sun Dec 11 17:02:37 2022	1670749357	0	355	355	355
Sun Dec 11 17:02:35 2022	1670749355	0	355	355	355
Sun Dec 11 17:02:33 2022	1670749353	0	355	355	355
Sun Dec 11 17:02:35 2022	1670749355	0	355	356	355
Sun Dec 11 17:02:34 2022	1670749354	0	355	356	355
Sun Dec 11 17:02:36 2022	1670749356	0	356	356	355
Sun Dec 11 17:02:33 2022	1670749353	0	356	356	354
Sun Dec 11 17:02:39 2022	1670749359	0	356	356	356
Sun Dec 11 17:02:37 2022	1670749357	0	356	356	355
Sun Dec 11 17:02:32 2022	1670749352	0	356	356	356
Sun Dec 11 17:02:35 2022	1670749355	0	356	356	356
Sun Dec 11 17:02:35 2022	1670749355	0	356	356	356
Sun Dec 11 17:02:34 2022	1670749354	0	357	357	356
Sun Dec 11 17:02:39 2022	1670749359	0	357	357	356
Sun Dec 11 17:02:35 2022	1670749355	0	357	357	357
Sun Dec 11 17:02:36 2022	1670749356	0	357	357	356
Sun Dec 11 17:02:35 2022	1670749355	0	358	358	356
Sun Dec 11 17:02:35 2022	1670749355	0	358	358	357
Sun Dec 11 17:02:36 2022	1670749356	0	358	358	357
Sun Dec 11 17:02:36 2022	1670749356	0	358	358	358
Sun Dec 11 17:02:34 2022	1670749354	0	358	358	358
Sun Dec 11 17:02:35 2022	1670749355	0	358	358	357
Sun Dec 11 17:02:35 2022	1670749355	0	358	359	358
Sun Dec 11 17:02:33 2022	1670749353	0	359	359	359
Sun Dec 11 17:02:35 2022	1670749355	0	359	360	359
Sun Dec 11 17:02:32 2022	1670749352	4	356	360	355
Sun Dec 11 17:02:35 2022	1670749355	0	360	360	359
Sun Dec 11 17:02:35 2022	1670749355	0	360	360	360
Sun Dec 11 17:02:40 2022	1670749360	0	360	360	359
Sun Dec 11 17:02:34 2022	1670749354	0	361	361	360
Sun Dec 11 17:02:35 2022	1670749355	0	361	361	360
Sun Dec 11 17:02:35 2022	1670749355	0	361	361	360
Sun Dec 11 17:02:36 2022	1670749356	0	361	361	361
Sun Dec 11 17:02:36 2022	1670749356	0	361	362	361
Sun Dec 11 17:02:38 2022	1670749358	0	361	362	361
Sun Dec 11 17:02:35 2022	1670749355	0	362	362	361
Sun Dec 11 17:02:36 2022	1670749356	0	362	362	361
Sun Dec 11 17:02:35 2022	1670749355	0	362	362	362
Sun Dec 11 17:02:35 2022	1670749355	0	362	362	362
Sun Dec 11 17:02:36 2022	1670749356	0	362	363	362
Sun Dec 11 17:02:36 2022	1670749356	0	363	363	362
Sun Dec 11 17:02:34 2022	1670749354	0	363	363	362
Sun Dec 11 17:02:37 2022	1670749357	0	363	363	362
Sun Dec 11 17:02:37 2022	1670749357	0	363	364	362
Sun Dec 11 17:02:36 2022	1670749356	0	364	364	363
Sun Dec 11 17:02:32 2022	1670749352	4	360	364	360
Sun Dec 11 17:02:39 2022	1670749359	0	364	364	364
Sun Dec 11 17:02:37 2022	1670749357	0	364	364	363
Sun Dec 11 17:02:32 2022	1670749352	4	360	364	360
Sun Dec 11 17:02:36 2022	1670749356	0	365	365	364
Sun Dec 11 17:02:35 2022	1670749355	0	365	365	365
Sun Dec 11 17:02:37 2022	1670749357	0	365	366	365
Sun Dec 11 17:02:32 2022	1670749352	4	362	366	362
Sun Dec 11 17:02:35 2022	1670749355	0	366	366	365
Sun Dec 11 17:02:35 2022	1670749355	0	366	366	365
Sun Dec 11 17:02:37 2022	1670749357	1	365	366	365
Sun Dec 11 17:02:35 2022	1670749355	0	366	366	365
Sun Dec 11 17:02:39 2022	1670749359	0	366	366	366
Sun Dec 11 17:02:34 2022	1670749354	0	366	366	366
Sun Dec 11 17:02:35 2022	1670749355	0	366	367	366
Sun Dec 11 17:02:37 2022	1670749357	0	367	367	366
Sun Dec 11 17:02:36 2022	1670749356	0	367	367	366
Sun Dec 11 17:02:39 2022	1670749359	0	367	367	366
Sun Dec 11 17:02:33 2022	1670749353	0	367	367	366
Sun Dec 11 17:02:33 2022	1670749353	0	367	367	366
Sun Dec 11 17:02:32 2022	1670749352	0	367	367	365
Sun Dec 11 17:02:35 2022	1670749355	0	367	367	366
Sun Dec 11 17:02:34 2022	1670749354	0	367	367	367
Sun Dec 11 17:02:35 2022	1670749355	0	367	367	367
Sun Dec 11 17:02:39 2022	1670749359	0	367	367	367
Sun Dec 11 17:02:39 2022	1670749359	0	368	368	367
Sun Dec 11 17:02:33 2022	1670749353	0	368	368	367
Sun Dec 11 17:02:34 2022	1670749354	0	368	368	368
Sun Dec 11 17:02:34 2022	1670749354	0	368	368	367
Sun Dec 11 17:02:35 2022	1670749355	0	368	368	368
Sun Dec 11 17:02:37 2022	1670749357	0	368	368	368
Sun Dec 11 17:02:37 2022	1670749357	0	368	369	368
Sun Dec 11 17:02:35 2022	1670749355	0	368	369	368
Sun Dec 11 17:02:39 2022	1670749359	0	368	369	368
Sun Dec 11 17:02:33 2022	1670749353	0	368	369	368
Sun Dec 11 17:02:36 2022	1670749356	0	369	369	366
Sun Dec 11 17:02:39 2022	1670749359	0	369	369	369
Sun Dec 11 17:02:35 2022	1670749355	0	369	369	368
Sun Dec 11 17:02:35 2022	1670749355	0	369	369	368
Sun Dec 11 17:02:34 2022	1670749354	0	369	369	368
Sun Dec 11 17:02:35 2022	1670749355	0	369	369	368
Sun Dec 11 17:02:35 2022	1670749355	0	369	369	369
Sun Dec 11 17:02:35 2022	1670749355	0	369	369	367
Sun Dec 11 17:02:39 2022	1670749359	0	369	369	369
Sun Dec 11 17:02:37 2022	1670749357	0	369	369	369
Sun Dec 11 17:02:35 2022	1670749355	0	369	370	368
Sun Dec 11 17:02:38 2022	1670749358	0	370	370	369
Sun Dec 11 17:02:37 2022	1670749357	0	370	370	369
Sun Dec 11 17:02:39 2022	1670749359	0	370	370	370
Sun Dec 11 17:02:38 2022	1670749358	0	370	370	370
Sun Dec 11 17:02:38 2022	1670749358	0	370	370	369
Sun Dec 11 17:02:37 2022	1670749357	0	370	370	370
Sun Dec 11 17:02:32 2022	1670749352	0	370	370	370
Sun Dec 11 17:02:35 2022	1670749355	0	370	370	370
Sun Dec 11 17:02:32 2022	1670749352	4	367	371	366
Sun Dec 11 17:02:37 2022	1670749357	0	371	371	370
Sun Dec 11 17:02:38 2022	1670749358	0	371	371	370
Sun Dec 11 17:02:34 2022	1670749354	0	371	371	370
Sun Dec 11 17:02:35 2022	1670749355	0	371	371	370
Sun Dec 11 17:02:35 2022	1670749355	0	371	371	370
Sun Dec 11 17:02:37 2022	1670749357	0	371	371	371
