starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 11 17:01:53 2022	1670749313	0	56	56	50
Sun Dec 11 17:01:53 2022	1670749313	3	89	92	60
Sun Dec 11 17:01:53 2022	1670749313	2	91	93	90
Sun Dec 11 17:01:53 2022	1670749313	1	93	93	91
Sun Dec 11 17:01:53 2022	1670749313	4	93	96	92
Sun Dec 11 17:01:53 2022	1670749313	4	95	99	92
Sun Dec 11 17:01:53 2022	1670749313	5	95	100	94
Sun Dec 11 17:01:53 2022	1670749313	5	114	120	114
Sun Dec 11 17:01:53 2022	1670749313	1	127	128	126
Sun Dec 11 17:01:53 2022	1670749313	2	125	128	124
Sun Dec 11 17:01:53 2022	1670749313	2	141	142	140
Sun Dec 11 17:01:53 2022	1670749313	2	141	143	141
Sun Dec 11 17:01:53 2022	1670749313	3	145	148	144
Sun Dec 11 17:01:53 2022	1670749313	2	152	154	151
Sun Dec 11 17:01:53 2022	1670749313	2	163	164	162
Sun Dec 11 17:01:53 2022	1670749313	3	174	177	173
Sun Dec 11 17:01:53 2022	1670749313	1	176	177	176
Sun Dec 11 17:01:53 2022	1670749313	3	175	178	174
Sun Dec 11 17:01:53 2022	1670749313	4	175	179	174
Sun Dec 11 17:01:53 2022	1670749313	2	188	190	187
Sun Dec 11 17:01:53 2022	1670749313	4	202	206	202
Sun Dec 11 17:01:53 2022	1670749313	2	211	214	211
Sun Dec 11 17:01:53 2022	1670749313	1	220	221	219
Sun Dec 11 17:01:53 2022	1670749313	3	225	228	225
Sun Dec 11 17:01:53 2022	1670749313	2	230	232	229
Sun Dec 11 17:01:53 2022	1670749313	3	235	238	235
Sun Dec 11 17:01:53 2022	1670749313	2	237	239	237
Sun Dec 11 17:01:53 2022	1670749313	2	244	246	243
Sun Dec 11 17:01:53 2022	1670749313	1	248	249	247
Sun Dec 11 17:01:53 2022	1670749313	3	253	256	253
Sun Dec 11 17:01:53 2022	1670749313	1	257	259	257
Sun Dec 11 17:01:53 2022	1670749313	4	262	266	262
Sun Dec 11 17:01:53 2022	1670749313	2	268	270	267
Sun Dec 11 17:01:53 2022	1670749313	4	271	275	270
Sun Dec 11 17:01:53 2022	1670749313	4	273	277	273
Sun Dec 11 17:01:53 2022	1670749313	2	278	280	277
Sun Dec 11 17:01:55 2022	1670749315	0	286	286	286
Sun Dec 11 17:01:53 2022	1670749313	3	285	288	285
Sun Dec 11 17:02:01 2022	1670749321	0	291	291	290
Sun Dec 11 17:02:01 2022	1670749321	0	291	292	291
Sun Dec 11 17:02:01 2022	1670749321	0	292	292	289
Sun Dec 11 17:02:01 2022	1670749321	0	295	296	294
Sun Dec 11 17:02:01 2022	1670749321	1	297	297	296
Sun Dec 11 17:02:01 2022	1670749321	0	297	298	293
Sun Dec 11 17:02:01 2022	1670749321	0	301	301	300
Sun Dec 11 17:02:01 2022	1670749321	0	306	306	306
Sun Dec 11 17:02:01 2022	1670749321	0	308	308	307
Sun Dec 11 17:02:01 2022	1670749321	0	308	309	305
Sun Dec 11 17:02:01 2022	1670749321	0	309	309	305
Sun Dec 11 17:02:01 2022	1670749321	0	310	311	310
Sun Dec 11 17:01:55 2022	1670749315	0	313	313	312
Sun Dec 11 17:02:01 2022	1670749321	0	313	313	312
Sun Dec 11 17:01:53 2022	1670749313	0	313	314	313
Sun Dec 11 17:01:57 2022	1670749317	0	318	319	318
Sun Dec 11 17:02:01 2022	1670749321	0	319	319	318
Sun Dec 11 17:02:01 2022	1670749321	0	319	319	318
Sun Dec 11 17:01:53 2022	1670749313	0	319	319	319
Sun Dec 11 17:01:57 2022	1670749317	0	322	322	321
Sun Dec 11 17:02:01 2022	1670749321	0	322	322	322
Sun Dec 11 17:01:58 2022	1670749318	0	324	324	324
Sun Dec 11 17:01:54 2022	1670749314	0	325	326	325
Sun Dec 11 17:01:57 2022	1670749317	0	326	326	325
Sun Dec 11 17:02:01 2022	1670749321	0	327	327	325
Sun Dec 11 17:02:01 2022	1670749321	0	327	327	326
Sun Dec 11 17:01:57 2022	1670749317	0	328	328	328
Sun Dec 11 17:01:55 2022	1670749315	0	328	329	328
Sun Dec 11 17:02:01 2022	1670749321	0	329	330	329
Sun Dec 11 17:01:57 2022	1670749317	0	330	330	330
